Date/Time,Address,Call Type,Description,Incident Number,Duration
12/30/2023 10:20,1100 BLK 19TH ST S,Domestic,DOMESTIC,2023-00033675,0:39:28
12/30/2023 3:41,2400 BLK 3RD AVE N,Domestic,DOMESTIC,2023-00033669,0:49:09
12/27/2023 16:26,2900 BLK 29TH AVENUE CIR S,Domestic,PHYS DOMESTIC,Multiple incidents,1:35:53
12/27/2023 15:58,1900 BLK 34TH AVE S,Domestic,DOMESTIC // 313,2023-00033469,2:32:40
12/27/2023 12:04,1900 BLK 34TH AVE S,Domestic,PHYS DOMESTIC,2023-00033452,0:33:47
12/26/2023 22:39,0 BLK 8TH ST S,Domestic,Domestic,Multiple incidents,1:44:54
12/24/2023 15:30,500 BLK 13TH ST N,Domestic,Domestic,2023-00033262,0:54:04
12/24/2023 14:51,2400 BLK 3RD AVE N,Domestic,DOMESTIC,2023-00033259,0:18:59
12/24/2023 1:13,2600 BLK 4TH AVE N,Domestic,DOMESTIC,Multiple incidents,4:42:03
12/23/2023 13:47,0 BLK KING ST,Domestic,DOMESTIC,2023-00033189,0:57:09
12/17/2023 21:12,1300 BLK 28TH AVE S,Domestic,DOMESTIC,2023-00032666,1:03:27
12/16/2023 23:43,1500 BLK 4TH AVE S,Domestic,Domestic,2023-00032620,0:57:46
12/13/2023 11:27,2700 BLK 8TH AVE N,Domestic,Domestic,2023-00032296,0:04:28
12/12/2023 12:35,1000 BLK 22ND AVE S,Domestic,VERBAL DOMESTIC,2023-00032181,0:23:18
12/11/2023 20:13,300 BLK 2ND AVE S,Domestic,DOMESTIC,2023-00032097,0:19:00
12/11/2023 11:51,3100 BLK 5TH ST S,Domestic,DOMESTIC/RESPS LEFT /1021,2023-00032054,0:26:18
12/10/2023 19:44,3100 BLK 5TH ST S,Domestic,Domestic,2023-00031981,0:09:28
12/9/2023 9:46,3000 BLK 22ND ST S,Domestic,DOMESTIC,Multiple incidents,0:59:48
12/6/2023 5:06,3200 BLK 9TH ST S,Domestic,PHYS DOMESTIC,Multiple incidents,0:53:29
12/5/2023 13:02,300 BLK 15TH ST N,Domestic,Domestic,2023-00031494,0:25:00
12/4/2023 23:13,700 BLK 1/2 12TH ST N,Domestic,POSS DOMESTIC,2023-00031447,1:29:31
12/4/2023 1:02,900 BLK 44TH AVE S,Domestic,DOMESTIC,2023-00031360,0:42:21
12/3/2023 17:49,900 BLK 18 1/2 ST S,Domestic,Domestic,2023-00031336,0:33:12
12/3/2023 2:37,3400 BLK VILLAGE GREEN DR S,Domestic,POSS DOMESTIC,Multiple incidents,1:14:14
12/2/2023 16:46,400 BLK 14TH ST N,Domestic,PHYSICAL DOMESTIC,2023-00031273,0:21:09
